response_id,university,Question_type,true_label,predicted_label,confidence
R_2rCa1N6N3d3HwaW,"UTEP: University of Texas, El Paso",Q1_UTEP,0,0,0.9979531764984131
R_1l6k4qkDrqMeRvb,"UTEP: University of Texas, El Paso",Q1_UTEP,1,0,0.9751596450805664
R_3NIlzVxxdTzlwpc,"UTEP: University of Texas, El Paso",Q1_UTEP,1,0,0.6951534152030945
R_2WPGuT5oAsecvWe,"UTEP: University of Texas, El Paso",Q1_UTEP,0,0,0.9989625215530396
R_2wzPuumMQ1zGGe4,"UTEP: University of Texas, El Paso",Q1_UTEP,0,0,0.9987094402313232
R_1jCjVLKNgb2huSg,"UTEP: University of Texas, El Paso",Q1_UTEP,0,0,0.9986714124679565
R_7IPME13SknzIWBL,ISU: Iowa State University,Q3_ISU,1,2,0.9594653844833374
R_5Ddtdgsx9r0zrQc,ISU: Iowa State University,Q3_ISU,0,0,0.9960307478904724
R_1e5v6fwwBF04jrM,ISU: Iowa State University,Q3_ISU,0,0,0.9973810315132141
R_1jNVk8aO7n6DGcI,ISU: Iowa State University,Q3_ISU,1,0,0.9949317574501038
R_1f8rzzLS6uKlRkw,ISU: Iowa State University,Q3_ISU,1,1,0.9874184131622314
R_6e8RHrMXSwpiDIZ,ISU: Iowa State University,Q3_ISU,0,1,0.9446513652801514
R_34ywUo6x0ujtnJT,ISU: Iowa State University,Q3_ISU,2,0,0.9941824078559875
R_5rT1LgRg1A2Kkya,ISU: Iowa State University,Q3_ISU,0,0,0.9975753426551819
R_5Gjj4Jg955jPXVo,ISU: Iowa State University,Q3_ISU,1,0,0.9909720420837402
R_6gJV0etfg9R0cnf,ISU: Iowa State University,Q3_ISU,1,0,0.9971466660499573
R_3xFBEh15xQlVRnq,ISU: Iowa State University,Q3_ISU,0,0,0.9966588020324707
R_6PG1Cuv76VepqWl,ISU: Iowa State University,Q3_ISU,0,0,0.9970636963844299
R_71gpBDaoM71iOWd,ISU: Iowa State University,Q3_ISU,0,0,0.9976544976234436
R_35Lcxmkaz67yob7,ISU: Iowa State University,Q3_ISU,1,1,0.9782403707504272
R_58R6JUKSuomDZAJ,ISU: Iowa State University,Q3_ISU,0,0,0.9991258978843689
R_5gBZoyE4vNPGlI5,ISU: Iowa State University,Q3_ISU,0,0,0.9946139454841614
R_1eA84Im7beahoY1,ISU: Iowa State University,Q3_ISU,0,0,0.9959859251976013
R_7fdTODCfM0sSAS3,ISU: Iowa State University,Q3_ISU,0,0,0.9961004257202148
R_1hMg5JnEnxc5DvY,ISU: Iowa State University,Q3_ISU,0,0,0.9981517195701599
R_11ggthKN9fi3OAX,ISU: Iowa State University,Q3_ISU,0,0,0.9958903193473816
R_5pgaq0pYCpZl0Yn,ISU: Iowa State University,Q3_ISU,0,0,0.9973898530006409
R_6yeK7gFLIyf5hg3,ISU: Iowa State University,Q3_ISU,0,0,0.9988794922828674
R_1nX6cppexZiCa3f,ISU: Iowa State University,Q3_ISU,1,1,0.984062910079956
R_32lNgQM6f5cqFfH,ISU: Iowa State University,Q3_ISU,0,0,0.9979758858680725
R_7eskBBLFPrXiCcX,ISU: Iowa State University,Q3_ISU,0,0,0.9943004846572876
R_6S6l3EmaWPCUCtQ,ISU: Iowa State University,Q3_ISU,0,0,0.9991644620895386
R_1OnLYobBrU0J9n3,ISU: Iowa State University,Q4_ISU,0,0,0.9905039668083191
R_6KW9lx7XeHmSWuY,ISU: Iowa State University,Q4_ISU,1,2,0.9848377704620361
R_6H1CDySa09NOhIF,ISU: Iowa State University,Q4_ISU,1,0,0.9988365769386292
R_5daTTG5Nj0bpgIQ,ISU: Iowa State University,Q4_ISU,0,0,0.9963280558586121
R_3clD3zfmf2dSJC9,ISU: Iowa State University,Q4_ISU,0,0,0.9997149109840393
R_1M3gVjepPyGy6gQ,ISU: Iowa State University,Q4_ISU,2,2,0.7921056747436523
R_1oAxLJaF7Ca3G4k,ISU: Iowa State University,Q4_ISU,0,0,0.9952625036239624
R_1ctEuox4xtQMb32,ISU: Iowa State University,Q4_ISU,1,1,0.9773498177528381
R_1zItB9clYizWYzB,ISU: Iowa State University,Q4_ISU,0,0,0.9966838955879211
R_7qwjqzh8MkMxwkl,ISU: Iowa State University,Q4_ISU,0,0,0.9976882934570312
R_1VR7Wcu6KzUgkBs,ISU: Iowa State University,Q4_ISU,0,1,0.9949533343315125
R_6rRMoJwCrYSQv8B,ISU: Iowa State University,Q4_ISU,1,1,0.6449719071388245
R_7PTTlI8rRTywj9x,ISU: Iowa State University,Q4_ISU,1,1,0.993496298789978
R_2AHnha63e5ixr3O,UF: University of Florida,Q2_UF,0,1,0.9838027954101562
R_ePypgfabK1EGpoZ,UF: University of Florida,Q2_UF,0,0,0.9996576309204102
R_2yjCOIGcNitkSe9,UF: University of Florida,Q2_UF,0,0,0.9930954575538635
R_3QPJ7VxNRXXe4QR,UF: University of Florida,Q2_UF,0,0,0.9993209838867188
R_piLTsh0jCe1Nxlv,UF: University of Florida,Q2_UF,1,1,0.9887624382972717
R_3e9LXigHqb3padf,UF: University of Florida,Q2_UF,0,0,0.9962531328201294
R_1Qa1aMyxfgnMsf2,UF: University of Florida,Q2_UF,0,0,0.9994704127311707
R_1d5JCzoywo5qsHz,UF: University of Florida,Q2_UF,0,0,0.999336302280426
R_1DYeZVlMR0yqoa0,UF: University of Florida,Q2_UF,0,0,0.9978138208389282
R_27lfLtyv1ssz1v7,UF: University of Florida,Q2_UF,1,1,0.9928774237632751
R_1FgmJdZogVIpfMA,UF: University of Florida,Q2_UF,1,1,0.9950868487358093
R_12sZ7fCjIj6oaVa,UF: University of Florida,Q2_UF,0,0,0.9995037317276001
R_0MQRpHixKGKfQzf,UF: University of Florida,Q2_UF,1,1,0.9963480830192566
R_1kFdAVzfwHe76Rq,UF: University of Florida,Q2_UF,1,1,0.9886886477470398
R_12QkKp4Dmy4NhYx,UF: University of Florida,Q2_UF,2,1,0.9895351529121399
R_5gNgxPGdZeRIs4F,UF: University of Florida,Q2_UF,0,0,0.9994033575057983
R_10NmNgK1lNpdI11,UF: University of Florida,Q2_UF,1,1,0.9937595725059509
R_p9HQ6d5neyHqpPz,UF: University of Florida,Q2_UF,0,0,0.997951328754425
R_3mcP1Qiyii91Sk9,UF: University of Florida,Q2_UF,0,0,0.9953979849815369
R_2dEz1evreucmIKw,UF: University of Florida,Q2_UF,0,1,0.9714932441711426
R_2YfuUd96cpwExTw,UF: University of Florida,Q2_UF,0,0,0.9995812773704529
R_3gYR5VI4qA6FbK5,UF: University of Florida,Q2_UF,0,0,0.9986188411712646
R_2aVqGm8pYfGOllh,UF: University of Florida,Q2_UF,0,0,0.9990541338920593
R_295hwb3vc9LKKxx,UF: University of Florida,Q2_UF,0,0,0.9937435984611511
R_26hVaB2qpXKPzCX,UF: University of Florida,Q2_UF,0,1,0.993866503238678
R_3k647OnhA32lBMB,UF: University of Florida,Q2_UF,1,1,0.9971832633018494
R_DGjYYgb95BEnuFP,,Q2_UF,0,0,0.995894193649292
R_2cj8eoXwNaSApuq,UF: University of Florida,Q2_UF,1,0,0.9982144832611084
R_3koZDT3MjVtcQl3,UF: University of Florida,Q2_UF,1,0,0.9981496334075928
R_PIFWsY9IrVSdYRz,UF: University of Florida,Q2_UF,0,2,0.9854876399040222
R_1DoorjauORI3gzz,UF: University of Florida,Q2_UF,0,0,0.9997137188911438
R_2X4gpKhNI2hKcNA,UF: University of Florida,Q2_UF,1,1,0.984328031539917
R_3Ez2qF0LoEhVVAp,UF: University of Florida,Q2_UF,0,0,0.9967828989028931
R_1PcwiZx3AR4goJZ,UF: University of Florida,Q2_UF,1,1,0.9950076341629028
R_3MtaUIMjvJVPBr1,UF: University of Florida,Q2_UF,0,0,0.9995465874671936
R_2Ysn7bkaI3VsNsl,UF: University of Florida,Q2_UF,1,0,0.9916554689407349
R_RUg4zD8PXY8NeaB,UF: University of Florida,Q2_UF,1,1,0.9896457195281982
R_cY25qF1A2GStINX,UF: University of Florida,Q2_UF,1,0,0.9951664209365845
R_2ckhQv4nJ90pbbi,UF: University of Florida,Q2_UF,0,0,0.9970070719718933
R_7QCipo49G0BBpRv,UF: University of Florida,Q2_UF,0,0,0.9980497360229492
R_Dq4zYA2a1jap3Mt,UF: University of Florida,Q2_UF,0,0,0.998431384563446
R_3Emv0M6VF9SEArM,UF: University of Florida,Q2_UF,0,0,0.9980583786964417
R_2dlN5B8YPmR7oto,UF: University of Florida,Q2_UF,1,1,0.9925285577774048
R_1CDUo72SFdWqrdx,UF: University of Florida,Q2_UF,0,0,0.9995274543762207
R_3qL75uYG08bPR3q,UF: University of Florida,Q2_UF,0,0,0.997772753238678
R_1Okmze1wvWKWi8F,UF: University of Florida,Q2_UF,0,0,0.9995150566101074
R_22yJ0Y9pmOWjDyn,,Q2_UF,0,0,0.9996770620346069
R_1JIXEmB9Y2OEbXp,UF: University of Florida,Q2_UF,1,0,0.9990395903587341
R_29ntW4yUhZ3jVTw,ISU: Iowa State University,Q1_ISU,2,1,0.9979879856109619
R_XOfJbeM43SgeyCR,ISU: Iowa State University,Q1_ISU,2,2,0.9943477511405945
R_2axGo50ZAjOiDuU,ISU: Iowa State University,Q1_ISU,2,1,0.9978233575820923
